delivery_start,quarter_index,take_price_eur_mwh,feed_price_eur_mwh
2023-01-01 00:00:00+01:00,0,42.55,21.25
2023-01-01 00:00:00+01:00,1,33.64,17.63
2023-01-01 00:00:00+01:00,2,40.7,19.68
2023-01-01 00:00:00+01:00,3,34.9,26.15
2023-01-01 01:00:00+01:00,0,37.66,24.25
2023-01-01 01:00:00+01:00,1,36.76,22.99
2023-01-01 01:00:00+01:00,2,36.24,16.11
2023-01-01 01:00:00+01:00,3,32.15,18.87
2023-01-01 02:00:00+01:00,0,35.63,21.52
2023-01-01 02:00:00+01:00,1,35.56,16.94
2023-01-01 02:00:00+01:00,2,28.72,16.69
2023-01-01 02:00:00+01:00,3,32.85,18.04
2023-01-01 03:00:00+01:00,0,35.3,8.62
2023-01-01 03:00:00+01:00,1,37.2,9.35
2023-01-01 03:00:00+01:00,2,26.95,19.25
2023-01-01 03:00:00+01:00,3,25.53,16.72
2023-01-01 04:00:00+01:00,0,34.46,15.05
2023-01-01 04:00:00+01:00,1,27.11,10.85
2023-01-01 04:00:00+01:00,2,23.09,5.29
2023-01-01 04:00:00+01:00,3,23.82,9.15
2023-01-01 05:00:00+01:00,0,45.16,30.17
2023-01-01 05:00:00+01:00,1,39.64,29.48
2023-01-01 05:00:00+01:00,2,38.38,29.26
2023-01-01 05:00:00+01:00,3,39.09,26.82
2023-01-01 06:00:00+01:00,0,53.71,32.03
2023-01-01 06:00:00+01:00,1,50.57,29.38
2023-01-01 06:00:00+01:00,2,49.19,28.75
2023-01-01 06:00:00+01:00,3,36.54,30.81
2023-01-01 07:00:00+01:00,0,52.88,38.18
2023-01-01 07:00:00+01:00,1,60.02,40.98
2023-01-01 07:00:00+01:00,2,53.86,45.88
2023-01-01 07:00:00+01:00,3,51.66,41.79
2023-01-01 08:00:00+01:00,0,64.99,48.11
2023-01-01 08:00:00+01:00,1,64.69,38.54
2023-01-01 08:00:00+01:00,2,59.63,50.07
2023-01-01 08:00:00+01:00,3,64.09,38.27
2023-01-01 09:00:00+01:00,0,50.64,38.33
2023-01-01 09:00:00+01:00,1,46.42,36.47
2023-01-01 09:00:00+01:00,2,51.71,31.83
2023-01-01 09:00:00+01:00,3,50.54,29.18
2023-01-01 10:00:00+01:00,0,45.81,37.62
2023-01-01 10:00:00+01:00,1,42.9,34.61
2023-01-01 10:00:00+01:00,2,57.65,38.72
2023-01-01 10:00:00+01:00,3,54.91,34.94
2023-01-01 11:00:00+01:00,0,48.35,31.79
2023-01-01 11:00:00+01:00,1,49.45,32.45
2023-01-01 11:00:00+01:00,2,45.6,29.57
2023-01-01 11:00:00+01:00,3,51.0,40.4
2023-01-01 12:00:00+01:00,0,54.55,41.53
2023-01-01 12:00:00+01:00,1,52.56,37.91
2023-01-01 12:00:00+01:00,2,55.58,37.57
2023-01-01 12:00:00+01:00,3,57.35,29.92
2023-01-01 13:00:00+01:00,0,56.23,34.39
2023-01-01 13:00:00+01:00,1,49.42,35.39
2023-01-01 13:00:00+01:00,2,49.18,36.23
2023-01-01 13:00:00+01:00,3,54.99,29.89
2023-01-01 14:00:00+01:00,0,55.82,42.38
2023-01-01 14:00:00+01:00,1,47.46,41.3
2023-01-01 14:00:00+01:00,2,53.01,32.89
2023-01-01 14:00:00+01:00,3,54.42,38.08
2023-01-01 15:00:00+01:00,0,60.05,36.57
2023-01-01 15:00:00+01:00,1,57.19,37.25
2023-01-01 15:00:00+01:00,2,52.95,42.33
2023-01-01 15:00:00+01:00,3,61.39,39.63
2023-01-01 16:00:00+01:00,0,63.7,42.84
2023-01-01 16:00:00+01:00,1,54.27,38.34
2023-01-01 16:00:00+01:00,2,59.86,51.89
2023-01-01 16:00:00+01:00,3,62.75,34.12
2023-01-01 17:00:00+01:00,0,56.01,39.74
2023-01-01 17:00:00+01:00,1,62.78,40.65
2023-01-01 17:00:00+01:00,2,65.94,46.76
2023-01-01 17:00:00+01:00,3,56.08,42.64
2023-01-01 18:00:00+01:00,0,65.76,53.08
2023-01-01 18:00:00+01:00,1,69.26,44.23
2023-01-01 18:00:00+01:00,2,65.12,42.92
2023-01-01 18:00:00+01:00,3,66.22,41.17
2023-01-01 19:00:00+01:00,0,63.89,41.06
2023-01-01 19:00:00+01:00,1,67.64,44.17
2023-01-01 19:00:00+01:00,2,57.15,47.04
2023-01-01 19:00:00+01:00,3,61.39,49.41
2023-01-01 20:00:00+01:00,0,59.17,43.76
2023-01-01 20:00:00+01:00,1,59.19,46.75
2023-01-01 20:00:00+01:00,2,69.89,53.07
2023-01-01 20:00:00+01:00,3,57.82,46.24
2023-01-01 21:00:00+01:00,0,59.5,33.38
2023-01-01 21:00:00+01:00,1,54.51,39.6
2023-01-01 21:00:00+01:00,2,51.56,40.84
2023-01-01 21:00:00+01:00,3,48.46,31.61
2023-01-01 22:00:00+01:00,0,48.38,36.81
2023-01-01 22:00:00+01:00,1,48.19,27.76
2023-01-01 22:00:00+01:00,2,49.37,33.15
2023-01-01 22:00:00+01:00,3,50.4,37.73
2023-01-01 23:00:00+01:00,0,41.18,35.49
2023-01-01 23:00:00+01:00,1,38.63,33.51
2023-01-01 23:00:00+01:00,2,45.93,34.49
2023-01-01 23:00:00+01:00,3,46.65,30.1
2023-01-02 00:00:00+01:00,0,39.55,22.36
2023-01-02 00:00:00+01:00,1,40.45,23.45
2023-01-02 00:00:00+01:00,2,42.98,21.3
2023-01-02 00:00:00+01:00,3,35.69,22.42
2023-01-02 01:00:00+01:00,0,48.71,25.01
2023-01-02 01:00:00+01:00,1,40.85,23.45
2023-01-02 01:00:00+01:00,2,51.82,30.57
2023-01-02 01:00:00+01:00,3,45.95,17.69
2023-01-02 02:00:00+01:00,0,34.83,25.76
2023-01-02 02:00:00+01:00,1,35.5,20.9
2023-01-02 02:00:00+01:00,2,44.29,20.71
2023-01-02 02:00:00+01:00,3,39.73,29.76
2023-01-02 03:00:00+01:00,0,48.89,26.65
2023-01-02 03:00:00+01:00,1,40.64,21.71
2023-01-02 03:00:00+01:00,2,46.87,26.13
2023-01-02 03:00:00+01:00,3,44.35,20.78
2023-01-02 04:00:00+01:00,0,42.11,22.31
2023-01-02 04:00:00+01:00,1,50.76,26.95
2023-01-02 04:00:00+01:00,2,45.94,27.89
2023-01-02 04:00:00+01:00,3,45.15,22.63
2023-01-02 05:00:00+01:00,0,35.48,23.87
2023-01-02 05:00:00+01:00,1,35.05,23.16
2023-01-02 05:00:00+01:00,2,39.38,29.3
2023-01-02 05:00:00+01:00,3,35.0,19.24
2023-01-02 06:00:00+01:00,0,42.99,28.79
2023-01-02 06:00:00+01:00,1,41.93,24.0
2023-01-02 06:00:00+01:00,2,46.75,33.06
2023-01-02 06:00:00+01:00,3,50.56,29.2
2023-01-02 07:00:00+01:00,0,56.09,44.24
2023-01-02 07:00:00+01:00,1,53.27,43.03
2023-01-02 07:00:00+01:00,2,63.54,42.26
2023-01-02 07:00:00+01:00,3,64.63,43.25
2023-01-02 08:00:00+01:00,0,64.38,44.95
2023-01-02 08:00:00+01:00,1,63.37,51.21
2023-01-02 08:00:00+01:00,2,74.69,51.29
2023-01-02 08:00:00+01:00,3,70.16,52.09
2023-01-02 09:00:00+01:00,0,62.78,54.53
2023-01-02 09:00:00+01:00,1,73.51,45.58
2023-01-02 09:00:00+01:00,2,67.77,57.72
2023-01-02 09:00:00+01:00,3,65.69,51.07
2023-01-02 10:00:00+01:00,0,66.62,37.13
2023-01-02 10:00:00+01:00,1,58.26,39.66
2023-01-02 10:00:00+01:00,2,65.44,50.42
2023-01-02 10:00:00+01:00,3,63.87,36.48
2023-01-02 11:00:00+01:00,0,75.1,56.31
2023-01-02 11:00:00+01:00,1,67.51,50.84
2023-01-02 11:00:00+01:00,2,65.72,52.77
2023-01-02 11:00:00+01:00,3,63.08,47.11
2023-01-02 12:00:00+01:00,0,64.08,37.8
2023-01-02 12:00:00+01:00,1,59.2,47.66
2023-01-02 12:00:00+01:00,2,67.35,43.07
2023-01-02 12:00:00+01:00,3,63.12,46.43
2023-01-02 13:00:00+01:00,0,56.89,36.08
2023-01-02 13:00:00+01:00,1,55.27,33.42
2023-01-02 13:00:00+01:00,2,64.11,43.47
2023-01-02 13:00:00+01:00,3,54.0,47.88
2023-01-02 14:00:00+01:00,0,67.14,51.22
2023-01-02 14:00:00+01:00,1,62.62,47.84
2023-01-02 14:00:00+01:00,2,65.05,44.77
2023-01-02 14:00:00+01:00,3,63.34,46.1
2023-01-02 15:00:00+01:00,0,59.64,36.93
2023-01-02 15:00:00+01:00,1,62.54,47.87
2023-01-02 15:00:00+01:00,2,55.25,48.59
2023-01-02 15:00:00+01:00,3,58.89,51.25
2023-01-02 16:00:00+01:00,0,62.05,51.2
